mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
5.51 2 2.507e-01 2.670e-05 1.063e-05 4.967e-10 1.196e-14 4.654e-10 
5.51 3 2.506e-01 2.663e-05 1.062e-05 4.980e-10 1.193e-14 4.667e-10 
5.51 4 2.537e-01 2.907e-05 1.090e-05 4.538e-10 1.322e-14 4.197e-10 
5.61 1 2.492e-01 2.561e-05 1.048e-05 5.178e-10 1.139e-14 4.877e-10 
5.61 2 2.507e-01 2.666e-05 1.062e-05 4.975e-10 1.194e-14 4.662e-10 
5.61 3 2.506e-01 2.660e-05 1.061e-05 4.987e-10 1.191e-14 4.675e-10 
5.61 4 2.536e-01 2.900e-05 1.089e-05 4.551e-10 1.318e-14 4.211e-10 
5.71 1 2.492e-01 2.559e-05 1.048e-05 5.182e-10 1.138e-14 4.881e-10 
5.71 2 2.506e-01 2.662e-05 1.062e-05 4.982e-10 1.193e-14 4.670e-10 
5.71 3 2.505e-01 2.656e-05 1.060e-05 4.994e-10 1.189e-14 4.683e-10 
5.71 4 2.535e-01 2.891e-05 1.089e-05 4.561e-10 1.313e-14 4.222e-10 
5.81 1 2.492e-01 2.557e-05 1.047e-05 5.186e-10 1.137e-14 4.885e-10 
5.81 2 2.506e-01 2.659e-05 1.061e-05 4.990e-10 1.191e-14 4.678e-10 
5.81 3 2.505e-01 2.653e-05 1.060e-05 5.001e-10 1.187e-14 4.690e-10 
5.81 4 2.534e-01 2.884e-05 1.087e-05 4.574e-10 1.310e-14 4.236e-10 
5.91 1 2.492e-01 2.556e-05 1.047e-05 5.190e-10 1.136e-14 4.889e-10 
5.91 2 2.505e-01 2.655e-05 1.060e-05 4.998e-10 1.189e-14 4.686e-10 
5.91 3 2.504e-01 2.650e-05 1.059e-05 5.008e-10 1.186e-14 4.697e-10 
5.91 4 2.533e-01 2.877e-05 1.086e-05 4.587e-10 1.306e-14 4.249e-10 
6.01 1 2.491e-01 2.557e-05 1.043e-05 5.208e-10 1.137e-14 4.907e-10 
6.01 2 2.505e-01 2.652e-05 1.060e-05 5.005e-10 1.187e-14 4.694e-10 
6.01 3 2.504e-01 2.647e-05 1.059e-05 5.015e-10 1.184e-14 4.705e-10 
6.01 4 2.532e-01 2.868e-05 1.086e-05 4.598e-10 1.301e-14 4.262e-10 
6.11 1 2.491e-01 2.556e-05 1.043e-05 5.212e-10 1.136e-14 4.911e-10 
6.11 2 2.504e-01 2.648e-05 1.059e-05 5.012e-10 1.185e-14 4.702e-10 
6.11 3 2.503e-01 2.643e-05 1.058e-05 5.022e-10 1.182e-14 4.712e-10 
6.11 4 2.531e-01 2.859e-05 1.085e-05 4.610e-10 1.297e-14 4.275e-10 
6.21 1 2.491e-01 2.554e-05 1.042e-05 5.216e-10 1.135e-14 4.915e-10 
6.21 2 2.504e-01 2.645e-05 1.058e-05 5.020e-10 1.183e-14 4.710e-10 
6.21 3 2.503e-01 2.640e-05 1.057e-05 5.029e-10 1.181e-14 4.719e-10 
6.21 4 2.531e-01 2.843e-05 1.086e-05 4.636e-10 1.289e-14 4.300e-10 
6.31 1 2.491e-01 2.535e-05 1.044e-05 5.261e-10 1.127e-14 4.961e-10 
6.31 2 2.503e-01 2.641e-05 1.057e-05 5.027e-10 1.181e-14 4.717e-10 
6.31 3 2.503e-01 2.637e-05 1.057e-05 5.035e-10 1.179e-14 4.726e-10 
6.31 4 2.530e-01 2.830e-05 1.086e-05 4.662e-10 1.282e-14 4.328e-10 
6.41 1 2.490e-01 2.527e-05 1.044e-05 5.279e-10 1.123e-14 4.980e-10 
6.41 2 2.503e-01 2.638e-05 1.057e-05 5.034e-10 1.180e-14 4.725e-10 
6.41 3 2.502e-01 2.634e-05 1.056e-05 5.042e-10 1.177e-14 4.733e-10 
6.41 4 2.529e-01 2.823e-05 1.084e-05 4.674e-10 1.279e-14 4.341e-10 
6.51 1 2.490e-01 2.525e-05 1.044e-05 5.283e-10 1.122e-14 4.984e-10 
6.51 2 2.502e-01 2.635e-05 1.056e-05 5.041e-10 1.178e-14 4.732e-10 
